participantID,beverage
bbx_001,UCO
bbx_002,USL
bbx_003,USL
bbx_004,SL
bbx_005,CO
bbx_006,USL
bbx_007,USL
bbx_008,CO
bbx_009,USL
bbx_010,CO
bbx_011,CO
bbx_012,SL
bbx_013,UCO
bbx_014,UCO
bbx_015,UCO
bbx_016,UCO
bbx_017,SL
bbx_018,SL
bbx_019,CO
bbx_020,CO
bbx_021,SL
bbx_022,SL
bbx_023,UCO
bbx_024,UCO
bbx_025,UCO
bbx_026,USL
bbx_027,SL
bbx_028,CO
bbx_029,SL
bbx_030,CO
bbx_031,SL
bbx_032,UCO
bbx_033,USL
bbx_034,CO
bbx_035,CO
bbx_036,CO
bbx_037,UCO
bbx_038,CO
bbx_039,USL
bbx_040,CO
bbx_041,SL
bbx_042,CO
bbx_043,USL
bbx_044,UCO
bbx_045,CO
bbx_046,USL
bbx_047,SL
bbx_048,USL
bbx_049,USL
bbx_050,UCO
bbx_051,CO
bbx_052,SL
bbx_053,CO
bbx_054,USL
bbx_055,SL
bbx_056,SL
bbx_057,UCO
bbx_058,SL
bbx_059,SL
bbx_060,CO
bbx_061,UCO
bbx_062,USL
bbx_063,UCO
bbx_064,SL
bbx_065,SL
bbx_066,UCO
bbx_067,CO
bbx_068,SL
bbx_069,UCO
bbx_070,USL
bbx_071,CO
bbx_072,USL
bbx_073,UCO
bbx_074,CO
bbx_075,USL
bbx_076,CO
bbx_077,UCO
bbx_078,SL
bbx_079,CO
bbx_080,UCO
bbx_081,SL
bbx_082,SL
bbx_083,UCO
bbx_084,SL
bbx_085,USL
bbx_086,SL
bbx_087,SL
bbx_088,SL
bbx_089,SL
bbx_090,UCO
bbx_091,USL
bbx_092,CO
bbx_093,CO
bbx_094,USL
bbx_095,USL
bbx_096,USL
bbx_097,c
bbx_098,CO
bbx_099,CO
bbx_100,
bbx_101,USL
bbx_102,UCO
bbx_103,USL
bbx_104,USL
bbx_105,UCO
bbx_106,SL
bbx_107,UCO
bbx_108,SL
bbx_109,CO
bbx_110,CO
bbx_111,USL
bbx_112,UCO
bbx_113,CO
bbx_114,CO
bbx_115,SL
bbx_116,CO
bbx_117,SL
bbx_118,CO
bbx_119,CO
bbx_120,SL
bbx_121,SL
bbx_122,USL
bbx_123,SL
bbx_124,UCO
bbx_125,UCO
bbx_126,SL
bbx_127,USL
bbx_128,SL
bbx_129,CO
bbx_130,USL
bbx_131,UCO
bbx_132,SL
bbx_133,UCO
bbx_134,CO
bbx_135,USL
bbx_136,CO
bbx_137,CO
bbx_138,UCO
bbx_139,USL
bbx_140,SL
bbx_141,USL
bbx_142,SL
bbx_143,SL
bbx_144,UCO
bbx_145,CO
bbx_146,CO
bbx_147,UCO
bbx_148,USL
bbx_149,USL
bbx_150,USL
bbx_151,CO
bbx_152,USL
bbx_153,SL
bbx_154,CO
bbx_155,USL
bbx_156,CO
bbx_157,CO
bbx_158,CO
bbx_159,USL
bbx_160,SL
bbx_161,USL
bbx_162,CO
bbx_163,USL
bbx_164,CO
bbx_165,SL
bbx_166,USL
bbx_167,USL
bbx_168,UCO
bbx_169,CO
bbx_170,UCO
bbx_171,CO
bbx_172,UCO
bbx_173,UCO
bbx_174,UCO
bbx_175,UCO
bbx_176,SL
bbx_177,UCO
bbx_178,UCO
bbx_179,SL
bbx_180,USL
bbx_181,SL
bbx_182,SL
bbx_183,UCO
bbx_184,UCO
bbx_185,SL
bbx_186,CO
bbx_187,SL
bbx_188,SL
bbx_189,USL
bbx_190,UCO
bbx_191,USL
bbx_192,USL
bbx_193,USL
bbx_194,SL
bbx_195,CO
bbx_196,UCO
bbx_197,CO
bbx_198,CO
bbx_199,SL
bbx_200,CO
bbx_201,CO
bbx_202,USL
bbx_203,USL
bbx_204,CO
bbx_205,SL
bbx_206,SL
bbx_207,UCO
bbx_208,CO
bbx_209,SL
bbx_210,UCO
bbx_211,USL
bbx_212,UCO
bbx_213,UCO
bbx_214,USL
bbx_215,USL
bbx_216,CO
bbx_217,UCO
bbx_218,USL
bbx_219,USL
bbx_220,UCO
bbx_221,USL
bbx_222,USL
bbx_223,UCO
bbx_224,UCO
bbx_225,SL
bbx_226,USL
bbx_227,UCO
bbx_228,SL
bbx_229,USL
bbx_230,UCO